단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,용적률,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,최소월세,최대월세,최소면적,최대면적,대표면적,매매매물수,전세매물수,월세매물수,총매물수,분양여부,사진수
"서초가람",37.485093,127.024501,"아파트",200501,1,10,228,,,,,,,,,63.58,124.59,109.5,,,,,,
"서초스위트빌",37.486219,127.006321,"아파트",200308,1,17,223,,,,,,,,,100.96,101.19,101.19,,,,,,
"세인트빌",37.52027,127.014366,"아파트",200403,1,5,248,,,,,,,,,72.79,97.23,72.79,,,,,,
"파로스타워(도시형)",37.505352,127.078853,"아파트",202006,1,27,246,,,,,,,,,23.12,27.61,24.06,,,,,,
"이움",37.50924,127.034123,"아파트",200509,1,10,199,,,,,,,,,111.35,142.98,142.98,,,,,,
"에버그린(주상복합)",37.482932,127.061271,"아파트",200303,1,9,311,,,,48000,48000,48000,,,74.08,74.08,74,,1,,1,,
"아스하임(627-26,도시형)",37.534799,127.083455,"아파트",201911,1,13,338,,,,,,,,,22.96,61.04,31.12,,,,,,
"스타힐스(도시형)",37.494424,127.04169,"아파트",201211,1,27,198,,,,,,,,,20.13,34.77,33.66,,,,,,
"우찬현대(103)",37.479506,127.048628,"아파트",200606,1,10,239,,,,,,,,,71.89,152.26,71.89,,,,,,
"현대타운",37.480568,127.039592,"아파트",200510,2,34,,,,,,,,,,86.08,145.31,91.13,,,,,,
"리더스빌",37.508253,127.032484,"아파트",200408,1,19,262,,,,,,,,,81.25,206.56,113.93,,,,,,
"노블스위트",37.496174,127.037311,"아파트",200312,1,19,297,,,,,,,,,78.96,101.95,98.95,,,,,,
"리갈팰리스",37.523691,127.030645,"아파트",200709,1,15,298,,,,,,,,,184.74,275.45,190.67,,,,,,
"도곡월드메르디앙(973)",37.488616,127.039762,"아파트",202308,2,48,248,,,,,,,,,73.32,93.2,73.32,,,,,,
"신사파크빌",37.520494,127.026489,"아파트",200409,2,28,248,,,,,,,,,104.48,146.45,146.45,,,,,,
"세방",37.517465,127.052863,"아파트",199809,1,14,196,,,,,,,160,250,148.14,148.14,148,,,2,2,,
"청담대우멤버스카운티XII",37.52656,127.050995,"아파트",200412,1,16,245,,,,,,,900,900,168.68,168.68,168,,,7,7,,
"상지리츠빌역삼2차",37.496752,127.04643,"아파트",200612,1,19,249,,,,140000,150000,140000,,,168.17,168.17,168,,6,,6,,
"자양명진센트라임(도시형)",37.536404,127.081862,"아파트",201712,1,27,329,,,,,,,,,39.53,44.04,44.04,,,,,,
"N168(도시형)",37.513061,127.029552,"아파트",202103,1,132,359,,,,,,,,,26.32,43.09,32.23,,,,,,
"삼성대우멤버스카운티5차",37.512844,127.044042,"아파트",200511,1,17,199,,,,143000,143000,143000,100,160,136.06,142.55,136,,10,5,15,,
"삼성팰리스(71-16)",37.514396,127.053343,"아파트",200610,1,19,249,,,,,,,465,470,136.56,136.56,136,,,7,7,,
"역삼골든베리힐",37.504756,127.035617,"아파트",200412,1,14,289,,,,110000,110000,110000,,,124.2,124.2,124,,1,,1,,
"헤스티아",37.523364,127.052335,"아파트",201211,1,4,176,,,,,,,,,135.91,184.03,169.05,,,,,,
"삼성현대1차",37.519085,127.054935,"아파트",200512,1,19,245,,,,,,,160,160,176.36,176.36,176,,,1,1,,
"서초엔-스위트2차",37.48653,127.006509,"아파트",200412,1,18,246,,,,,,,,,122.79,124.64,124.64,,,,,,
"삼환SOGOOD(주상복합)",37.497556,127.055682,"아파트",200611,1,37,359,,,,,,,,,107.38,133.52,107.38,,,,,,
"도곡스테이77(도시형)",37.485157,127.034931,"아파트",202003,1,77,481,,,,,,,,,31.15,44.58,31.15,,,,,,
"LH삼성(도시형)",37.515499,127.064002,"아파트",201308,1,47,247,,,,,,,120,120,44.28,44.28,44,,,1,1,,
"도곡조이너스",37.487154,127.035075,"아파트",200804,1,26,200,,,,80000,80000,80000,,,109.25,109.25,109,,1,,1,,
"울트라멤버스",37.487689,127.046658,"아파트",200312,1,19,296,,,,140000,140000,140000,,,153.31,153.31,153,,11,,11,,
"썬-타워(도시형)",37.52112,127.031368,"아파트",201502,1,47,799,,,,,,,80,80,27.74,27.74,27,,,1,1,,
"동화(민간임대,도시형)",37.510668,127.023389,"아파트",201208,1,236,395,,,,,,,110,110,44.04,44.04,44,,,1,1,,
"도곡한신",37.487685,127.040609,"아파트",198807,5,421,212,,,,70000,70000,70000,100,180,79.5,79.5,79,,19,19,38,,
"한신타운",37.509484,127.011449,"재건축",198906,1,110,245,,,,70000,80000,71000,150,160,79.93,98.02,98,,12,2,14,,
"세방하이빌",37.497389,127.042791,"아파트",200301,2,67,299,,,,66500,75000,70000,40,80,75.71,75.71,75,,11,3,14,,
"한티",37.499028,127.057213,"아파트",200407,2,22,249,,,,100000,100000,100000,50,120,123.25,123.25,123,,2,6,8,,
"신반포16차",37.517458,127.00991,"재건축",198301,2,396,,,,,24000,50000,24000,50,105,57.58,91.49,57,,6,8,15,,
"삼성웰피아",37.50847,127.053655,"아파트",200506,1,19,196,,,,,,,,,104.91,104.91,104.91,,,,2,,
"지웰홈스서초(주상복합)",37.491985,127.013372,"아파트",201905,1,154,628,,,,,,,86,142,22.65,33.97,22,,,7,7,,
