단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,용적률,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,최소월세,최대월세,최소면적,최대면적,대표면적,매매매물수,전세매물수,월세매물수,총매물수,분양여부,사진수
"강변임광",37.53516,127.05691,"재건축",200008,2,141,264,300000,370000,360000,35000,65000,65000,350,350,82.91,117.79,117,6,4,1,11,,
"신동아",37.51024,127.034088,"아파트",199612,2,12,87,350000,350000,350000,200000,200000,200000,800,800,262.2,262.2,262,2,3,1,6,,
"청담린든그로브",37.522752,127.053648,"아파트",201708,5,114,193,309000,650000,350000,159500,500000,170000,400,1800,114.36,251.51,114,83,35,30,148,,
"한남아이파크애비뉴",37.532221,127.007487,"분양",,,,,70960,614080,342520,,,,,,2163.36,3292.6,3292.6,,,,,true,
"트윈빌",37.534173,127.01038,"아파트",200812,2,38,199,320000,450000,330000,250000,250000,,,,151.63,216.41,151,20,4,,24,,
"상지리츠빌6차",37.527753,127.050368,"아파트",200202,1,19,290,330000,330000,330000,200000,220000,200000,300,1000,169.3,189.3,169,15,13,15,43,,
"진흥",37.519107,127.053193,"아파트",198407,3,255,179,319000,850000,320000,84500,200000,85000,140,280,110.92,221.01,110,15,8,8,31,,
"청구강변(101동)",37.535518,127.054638,"재건축",199404,1,246,,320000,320000,320000,55000,60000,56000,100,100,103.91,103.91,103,1,11,1,13,,
"쌍용플래티넘(주상복합)",37.512403,127.051932,"아파트",200312,2,88,715,320000,320000,320000,184500,200000,184750,340,600,183.04,188.65,183,1,8,16,25,,
"청담대우유로카운티",37.523597,127.050059,"아파트",200404,4,196,282,270000,420000,310000,120000,150000,,135,1000,124.43,213.46,142,85,6,10,101,,
"삼성포스코더샵(주상복합)",37.513084,127.054932,"아파트",200308,1,72,849,310000,590000,310000,185000,185000,,600,640,176.54,228.05,183,16,2,3,21,,
"방배래미안아트힐",37.477688,127.005111,"아파트",200412,10,588,294,260000,330000,310000,129000,150000,140000,150,250,136.65,201.28,152,41,12,5,58,,
"우성1,2,3차",37.506685,127.07294,"재건축",198112,26,1842,,260000,420000,305000,53000,150000,67000,100,250,86.09,173.63,104,30,42,20,93,,
"강남역센트럴애비뉴",37.497841,127.029544,"분양",,,,,65500,540900,303200,,,,,,1861.17,2769.46,2769.46,,,,,true,
"강변삼부",37.517125,127.06565,"아파트",200009,1,48,336,210000,300000,300000,,,,,,100.64,135.66,135,3,,,3,,
"동부센트레빌",37.50256,127.049364,"아파트",199804,1,206,350,240000,300000,300000,,,,160,230,77.83,110.66,110,4,,4,8,,
"서초아트자이(주상복합)",37.485687,127.011371,"아파트",200906,4,164,426,280000,350000,290000,140000,175000,175000,250,250,181.1,207.48,207,10,8,1,19,,
"힐스테이트 삼성",37.5073,127.054805,"분양",,,,,151900,420500,286200,,,,,,127.89,218.0,218,,,,,true,
"아카데미스위트(주상복합)",37.488828,127.051585,"아파트",200411,1,414,996,195000,330000,280000,159000,220000,160000,160,650,112.2,222.87,165,63,32,9,104,,
"삼성청담공원",37.522268,127.050266,"아파트",199908,8,391,271,264000,350000,265000,74500,130000,90000,120,550,81.95,132.18,132,12,29,4,49,,
"청담현대3차",37.527354,127.053394,"아파트",199906,4,317,324,209000,470000,260000,69500,170000,95000,100,650,91.43,142.19,108,69,36,27,139,,
"서초롯데캐슬리버티",37.48748,127.01673,"아파트",200503,3,132,238,260000,260000,260000,95000,120000,117500,,,106.8,151.21,151,4,5,,9,,
"현대빌라트",37.511985,127.051564,"아파트",200411,1,14,238,250000,250000,250000,,,,,,144.09,144.09,144,1,,,1,,
"끄레메빌",37.489829,127.020513,"아파트",199905,1,14,388,250000,260000,250000,150000,160000,150000,200,450,256.09,286,286,21,12,5,38,,
"청담e-편한세상2차(204동)",37.5207,127.04505,"아파트",200512,1,41,234,245000,270000,250000,120000,135000,120000,410,420,118.64,128.68,118,36,5,6,47,,
"현대",37.485942,127.023523,"아파트",198912,5,413,196,250000,250000,250000,60000,75000,70000,20,90,91.52,109.44,103,2,23,6,31,,
"동구싼타빌",37.515189,127.062326,"아파트",200406,1,19,294,250000,250000,250000,90000,90000,90000,200,200,136.63,136.63,136,1,3,6,10,,
"서초e-편한세상1차",37.481181,127.006941,"아파트",200408,2,154,276,239000,280000,245000,,,,,,158.86,158.86,158,22,,,22,,
"세영팔레스",37.50085,127.06214,"아파트",200201,1,67,237,230000,250000,240000,72000,72000,,,,73.77,103.37,103,12,6,,18,,
"반포훼밀리(103,104동)",37.509054,127.017035,"아파트",200305,2,47,,203000,235000,235000,100000,100000,100000,,,123.59,127.51,123,4,2,,6,,
"삼성이안파크",37.508594,127.053439,"아파트",200405,1,19,224,220000,230000,225000,,,,,,102.03,122.32,122,7,,,7,,
"아나하(도시형)",37.514213,127.036847,"아파트",202006,1,16,149,190000,380000,210000,120000,250000,,,,36.48,116.57,90,18,17,,35,,
"엠브이",37.49914,127.010255,"아파트",199407,1,154,397,164500,250000,205000,,,,220,220,74.52,162.23,104,40,,3,43,,
"삼성미켈란107(주상복합)",37.514726,127.060793,"아파트",200312,1,64,699,200000,210000,205000,95000,95000,95000,440,650,99.79,99.79,99,2,4,22,33,,
"삼성월드타워",37.517457,127.044062,"아파트",199709,1,46,333,199000,205000,202000,75000,89000,88750,330,330,66.98,96.55,96,2,3,4,9,,
"아남",37.493011,127.020794,"재건축",198911,2,166,229,200000,200000,200000,,,,,,92.08,92.08,92,1,,,1,,
"청담우방",37.518025,127.044078,"아파트",199910,1,100,333,199500,200000,200000,84500,120000,85000,120,300,83.51,149.27,83,4,21,2,27,,
"토미빌(228-9)",37.508967,127.033855,"아파트",200302,3,24,188,190000,210000,199000,,,,550,800,155.16,161.26,158,9,,3,12,,
"지젤 라이프그라피 서초",37.486358,127.013226,"분양",,,,,172201,217992,195096,,,,,,107.15,132.07,132.07,,,,,true,
"삼성벽산블루밍",37.517343,127.052299,"아파트",200602,2,26,231,190000,190000,190000,230000,250000,,500,600,122.14,174.24,122,5,27,24,56,,
"서초벽산블루밍",37.48587,127.02574,"아파트",200606,2,60,262,190000,190000,190000,85000,126000,85000,,,105.25,149.13,105,6,8,,14,,
"동원베네스트",37.485282,127.026641,"아파트",200211,2,126,292,190000,190000,190000,90000,105000,90000,160,180,105.53,142.48,105,1,4,7,12,,
"베르사이유",37.499391,127.039588,"아파트",200311,1,16,149,185000,185000,185000,,,,,,127.76,127.76,127,7,,,7,,
"논현한가람",37.51872,127.03742,"아파트",200210,1,32,235,180000,180000,180000,109000,110000,,,,102.67,169.38,102,2,9,,11,,
"대림역삼",37.49632,127.04647,"아파트",199710,1,129,325,179000,245000,180000,69500,95000,70000,,,78.01,111.09,78,31,28,,59,,
"청담삼성1차",37.519514,127.047747,"아파트",199712,1,158,314,180000,260000,180000,89000,100000,,80,80,79.1,112.37,79,16,18,7,41,,
"쌍용플래티넘밸류(주상복합)",37.495603,127.030341,"아파트",200701,3,166,640,166000,280000,178000,80000,105000,83000,30,790,106.36,146.15,106,11,10,27,63,,
